project_code,project_name,agency,ministry,sector,state,app_date,start_date,target_doc,revised_doc,orig_cost,rev_cost,expenditure,progress,report_month,report_date,delay_months,cost_overrun_pct,cost_growth,financial_progress_pct,progress_gap,time_elapsed_months,planned_duration_months,time_utilization_pct,progress_velocity,expenditure_velocity,delay_slippage,risk_level,history_json,is_anomaly,anomaly_score
612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,03/2023,01/2024,01/2026,09/2026,265.91,265.91,176.38,80.0,July,2026-07-01,8,0.0,0.0,66.33071339927042,-13.669286600729578,30.0,24.0,125.0,5.0,15.77,2,MEDIUM,"[{""month"": ""April 2026"", ""progress"": 65.0, ""expenditure"": 129.07}, {""month"": ""May 2026"", ""progress"": 70.0, ""expenditure"": 142.62}, {""month"": ""June 2026"", ""progress"": 75.0, ""expenditure"": 153.62}, {""month"": ""July 2026"", ""progress"": 80.0, ""expenditure"": 176.38}]",0,0.1613
701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,06/2020,09/2020,09/2022,11/2026,611.8,824.28,572.99,89.7,July,2026-07-01,50,34.73030402092188,212.48,69.5140000970544,-20.1859999029456,70.0,24.0,291.66666666666663,0.83,16.62,1,HIGH,"[{""month"": ""April 2026"", ""progress"": 87.2, ""expenditure"": 523.14}, {""month"": ""May 2026"", ""progress"": 87.2, ""expenditure"": 523.14}, {""month"": ""June 2026"", ""progress"": 88.25, ""expenditure"": 527.74}, {""month"": ""July 2026"", ""progress"": 89.7, ""expenditure"": 572.99}]",0,0.106
701121,Construction of New  Domestic Terminal Building  at Rajahmundry Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,12/2022,08/2023,08/2025,08/2026,347.15,347.15,189.48,96.0,July,2026-07-01,12,0.0,0.0,54.58159297133805,-41.41840702866195,35.0,24.0,145.83333333333331,2.0,6.23,2,MEDIUM,"[{""month"": ""April 2026"", ""progress"": 90.0, ""expenditure"": 170.79}, {""month"": ""May 2026"", ""progress"": 92.0, ""expenditure"": 189.48}, {""month"": ""June 2026"", ""progress"": 94.5, ""expenditure"": 189.48}, {""month"": ""July 2026"", ""progress"": 96.0, ""expenditure"": 189.48}]",0,0.1759
706724,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Assam,12/2016,03/2018,03/2025,06/2026,1712.0,2520.0,2670.23,99.5,July,2026-07-01,15,47.19626168224299,808.0,105.96150793650794,6.461507936507942,100.0,84.0,119.04761904761904,0.5,14.28,0,HIGH,"[{""month"": ""April 2026"", ""progress"": 98.0, ""expenditure"": 2627.39}, {""month"": ""May 2026"", ""progress"": 98.5, ""expenditure"": 2639.99}, {""month"": ""June 2026"", ""progress"": 99.3, ""expenditure"": 2660.15}, {""month"": ""July 2026"", ""progress"": 99.5, ""expenditure"": 2670.23}]",0,0.1437
612183,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,08/2024,04/2025,03/2027,-,1413.0,1413.0,15.53,4.15,July,2026-07-01,0,0.0,0.0,1.0990799716914366,-3.050920028308564,15.0,23.0,65.21739130434783,0.96,2.63,0,LOW,"[{""month"": ""April 2026"", ""progress"": 1.28, ""expenditure"": 7.64}, {""month"": ""May 2026"", ""progress"": 2.43, ""expenditure"": 7.64}, {""month"": ""June 2026"", ""progress"": 2.86, ""expenditure"": 9.56}, {""month"": ""July 2026"", ""progress"": 4.15, ""expenditure"": 15.53}]",0,0.1838
612194,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,07/2024,07/2024,07/2026,11/2026,911.66,911.66,426.22,71.1,July,2026-07-01,4,0.0,0.0,46.752078625803485,-24.34792137419651,24.0,24.0,100.0,2.03,17.24,0,MEDIUM,"[{""month"": ""April 2026"", ""progress"": 65.0, ""expenditure"": 374.49}, {""month"": ""May 2026"", ""progress"": 68.01, ""expenditure"": 386.24}, {""month"": ""June 2026"", ""progress"": 69.8, ""expenditure"": 400.62}, {""month"": ""July 2026"", ""progress"": 71.1, ""expenditure"": 426.22}]",0,0.1794
701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,10/2018,10/2018,05/2026,08/2026,1216.9,1216.9,1203.48,99.26,July,2026-07-01,3,0.0,0.0,98.89719779768264,-0.3628022023173685,93.0,91.0,102.1978021978022,0.35,0.94,3,HIGH,"[{""month"": ""April 2026"", ""progress"": 98.22, ""expenditure"": 1200.67}, {""month"": ""May 2026"", ""progress"": 98.51, ""expenditure"": 1201.92}, {""month"": ""June 2026"", ""progress"": 99.19, ""expenditure"": 1202.07}, {""month"": ""July 2026"", ""progress"": 99.26, ""expenditure"": 1203.48}]",0,0.1844
619054,Development of Keshod Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Gujarat,01/2024,07/2025,01/2027,-,363.1,363.1,108.64,46.69,July,2026-07-01,0,0.0,0.0,29.9201321949876,-16.769867805012396,12.0,18.0,66.66666666666666,4.52,6.92,0,LOW,"[{""month"": ""April 2026"", ""progress"": 33.13, ""expenditure"": 87.88}, {""month"": ""May 2026"", ""progress"": 38.18, ""expenditure"": 87.88}, {""month"": ""June 2026"", ""progress"": 41.5, ""expenditure"": 102.3}, {""month"": ""July 2026"", ""progress"": 46.69, ""expenditure"": 108.64}]",0,0.1595
701126,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Gujarat,06/2022,07/2022,06/2026,09/2026,1305.0,1551.0,966.36,88.0,July,2026-07-01,3,18.85057471264368,246.0,62.30560928433269,-25.69439071566731,48.0,47.0,102.12765957446808,2.0,23.18,3,HIGH,"[{""month"": ""April 2026"", ""progress"": 82.0, ""expenditure"": 896.82}, {""month"": ""May 2026"", ""progress"": 84.0, ""expenditure"": 922.78}, {""month"": ""June 2026"", ""progress"": 87.0, ""expenditure"": 949.24}, {""month"": ""July 2026"", ""progress"": 88.0, ""expenditure"": 966.36}]",0,0.155
611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Jammu and Kashmir,10/2023,12/2023,06/2026,11/2026,861.37,861.37,370.44,58.35,July,2026-07-01,5,0.0,0.0,43.0059091911722,-15.3440908088278,31.0,30.0,103.33333333333334,2.33,16.98,0,MEDIUM,"[{""month"": ""April 2026"", ""progress"": 51.35, ""expenditure"": 319.5}, {""month"": ""May 2026"", ""progress"": 52.95, ""expenditure"": 327.3}, {""month"": ""June 2026"", ""progress"": 55.35, ""expenditure"": 353.54}, {""month"": ""July 2026"", ""progress"": 58.35, ""expenditure"": 370.44}]",0,0.1825
